!, 0.115804, 0.506667, 0.390863, 0.813961 
enron, 0.388283, 0, 0.388283, 0 
2000, 0.423706, 0.0366667, 0.387039, 0.0796457 
cc, 0.333787, 0.00666667, 0.327121, 0.0195817 
hpl, 0.325613, 0, 0.325613, 0 
thanks, 0.347411, 0.0466667, 0.300745, 0.11842 
gas, 0.294278, 0.00666667, 0.287611, 0.0221525 
daren, 0.26703, 0, 0.26703, 0 
for, 0.765668, 0.503333, 0.262334, 0.396637 
pm, 0.264305, 0.01, 0.254305, 0.0364557 
your, 0.216621, 0.47, 0.253379, 0.684511 
forwarded, 0.245232, 0, 0.245232, 0 
ect, 0.239782, 0, 0.239782, 0 
http, 0.0490463, 0.286667, 0.23762, 0.853904 
hou, 0.23297, 0, 0.23297, 0 
no, 0.0940054, 0.323333, 0.229328, 0.77475 
more, 0.0544959, 0.283333, 0.228837, 0.838688 
deal, 0.23842, 0.01, 0.22842, 0.0402545 
attached, 0.243869, 0.0166667, 0.227203, 0.0639707 
here, 0.0790191, 0.303333, 0.224314, 0.793334 
am, 0.271117, 0.05, 0.221117, 0.155706 
2001, 0.220708, 0, 0.220708, 0 
please, 0.411444, 0.203333, 0.208111, 0.330743 
meter, 0.201635, 0, 0.201635, 0 
on, 0.56812, 0.376667, 0.191453, 0.398679 
(, 0.426431, 0.236667, 0.189764, 0.356911 
all, 0.152589, 0.336667, 0.184078, 0.688121 
corp, 0.189373, 0.0166667, 0.172707, 0.0808905 
let, 0.213896, 0.0466667, 0.16723, 0.179099 
questions, 0.177112, 0.01, 0.167112, 0.053444 
know, 0.249319, 0.0933333, 0.155985, 0.272385 
farmer, 0.163488, 0.01, 0.153488, 0.057641 
our, 0.155313, 0.306667, 0.151353, 0.663809 
01, 0.177112, 0.03, 0.147112, 0.144849 
will, 0.359673, 0.213333, 0.14634, 0.372305 
best, 0.0245232, 0.17, 0.145477, 0.873932 
xls, 0.137602, 0, 0.137602, 0 
nom, 0.138965, 0.00333333, 0.135631, 0.023425 
me, 0.299728, 0.166667, 0.133061, 0.357352 
only, 0.0940054, 0.226667, 0.132661, 0.706849 
www, 0.0354223, 0.166667, 0.131244, 0.824719 
mmbtu, 0.13079, 0, 0.13079, 0 
02, 0.13624, 0.00666667, 0.129573, 0.0466506 
$, 0.0953678, 0.223333, 0.127965, 0.700761 
if, 0.358311, 0.233333, 0.124977, 0.394381 
12, 0.181199, 0.0566667, 0.124532, 0.23823 
file, 0.144414, 0.02, 0.124414, 0.121644 
000, 0.205722, 0.0833333, 0.122389, 0.288295 
#, 0.19891, 0.0766667, 0.122243, 0.278204 
volume, 0.13079, 0.01, 0.12079, 0.0710277 
by, 0.352861, 0.236667, 0.116194, 0.401451 
one, 0.0953678, 0.21, 0.114632, 0.687695 
email, 0.0735695, 0.186667, 0.113097, 0.717297 
money, 0.013624, 0.126667, 0.113043, 0.902887 
be, 0.425068, 0.313333, 0.111735, 0.42434 
texas, 0.111717, 0, 0.111717, 0 
get, 0.115804, 0.226667, 0.110863, 0.661858 
high, 0.0163488, 0.126667, 0.110318, 0.885685 
see, 0.23297, 0.123333, 0.109637, 0.346147 
prices, 0.00953678, 0.116667, 0.10713, 0.924433 
bob, 0.111717, 0.00666667, 0.10505, 0.0563143 
volumes, 0.104905, 0, 0.104905, 0 
online, 0.0217984, 0.126667, 0.104868, 0.853175 
other, 0.0667575, 0.17, 0.103243, 0.718034 
com, 0.160763, 0.263333, 0.10257, 0.620928 
from, 0.393733, 0.293333, 0.1004, 0.426936 
2004, 0, 0.1, 0.1, 1 
sitara, 0.099455, 0, 0.099455, 0 
re, 0.228883, 0.13, 0.0988828, 0.362235 
net, 0.0326975, 0.13, 0.0973025, 0.799029 
stop, 0.00953678, 0.106667, 0.0971299, 0.91793 
than, 0.0340599, 0.13, 0.0959401, 0.792393 
contract, 0.108992, 0.0133333, 0.0956585, 0.108999 
11, 0.168937, 0.0733333, 0.095604, 0.302692 
03, 0.118529, 0.0233333, 0.0951953, 0.164479 
05, 0.110354, 0.0166667, 0.0936876, 0.131212 
flow, 0.113079, 0.02, 0.093079, 0.150287 
reply, 0.013624, 0.106667, 0.0930427, 0.886741 
month, 0.13624, 0.0433333, 0.0929064, 0.241313 
dollars, 0.00408719, 0.0966667, 0.0925795, 0.959434 
click, 0.0313351, 0.123333, 0.0919982, 0.797404 
without, 0.013624, 0.103333, 0.0897094, 0.883513 
nomination, 0.0926431, 0.00333333, 0.0893097, 0.0347308 
now, 0.0640327, 0.153333, 0.0893006, 0.705415 
10, 0.228883, 0.14, 0.0888828, 0.379524 
over, 0.0613079, 0.15, 0.0886921, 0.709865 
04, 0.114441, 0.0266667, 0.0877748, 0.18898 
06, 0.0899183, 0.00333333, 0.0865849, 0.0357456 
quality, 0.00681199, 0.0933333, 0.0865213, 0.931979 
microsoft, 0.00408719, 0.09, 0.0859128, 0.95656 
713, 0.0858311, 0, 0.0858311, 0 
actuals, 0.0858311, 0, 0.0858311, 0 
us, 0.0912807, 0.176667, 0.085386, 0.659334 
following, 0.111717, 0.0266667, 0.08505, 0.192701 
offer, 0.0122616, 0.0966667, 0.0844051, 0.887434 
call, 0.126703, 0.0433333, 0.0833697, 0.254847 
09, 0.099455, 0.0166667, 0.0827884, 0.143528 
31, 0.10218, 0.02, 0.0821798, 0.163693 
time, 0.0967302, 0.176667, 0.0799364, 0.646191 
08, 0.106267, 0.0266667, 0.0796004, 0.200601 
