enron, 0.405378, 0, 0.405378, 0 
2000, 0.413547, 0.0225, 0.391047, 0.0516 
!, 0.133084, 0.498333, 0.36525, 0.78923 
cc, 0.349898, 0.00583333, 0.344065, 0.0163981 
thanks, 0.362832, 0.0508333, 0.311999, 0.122885 
gas, 0.314159, 0.0125, 0.301659, 0.0382662 
your, 0.204221, 0.505833, 0.301613, 0.712387 
hpl, 0.298162, 0, 0.298162, 0 
daren, 0.282505, 0, 0.282505, 0 
pm, 0.281144, 0.00666667, 0.274477, 0.0231634 
http, 0.0364193, 0.310833, 0.274414, 0.895122 
am, 0.31518, 0.0466667, 0.268514, 0.128968 
forwarded, 0.247788, 0.000833333, 0.246954, 0.00335182 
ect, 0.243022, 0.00166667, 0.241356, 0.00681136 
deal, 0.258679, 0.0175, 0.241179, 0.0633646 
hou, 0.235194, 0, 0.235194, 0 
attached, 0.235194, 0.0108333, 0.224361, 0.044033 
on, 0.573179, 0.349167, 0.224012, 0.378564 
2001, 0.224302, 0.00333333, 0.220969, 0.0146433 
more, 0.0636487, 0.28, 0.216351, 0.814785 
please, 0.424438, 0.210833, 0.213605, 0.331879 
for, 0.756978, 0.545, 0.211978, 0.418594 
here, 0.0816882, 0.293333, 0.211645, 0.782177 
meter, 0.211368, 0, 0.211368, 0 
me, 0.344112, 0.134167, 0.209945, 0.28052 
no, 0.117767, 0.325, 0.207233, 0.73402 
corp, 0.208986, 0.015, 0.193986, 0.0669686 
let, 0.225664, 0.0425, 0.183164, 0.158485 
know, 0.264466, 0.0858333, 0.178632, 0.245029 
(, 0.435671, 0.263333, 0.172337, 0.376727 
farmer, 0.170184, 0.0025, 0.167684, 0.0144773 
our, 0.146358, 0.300833, 0.154475, 0.672717 
01, 0.187202, 0.0333333, 0.153869, 0.151147 
nom, 0.153506, 0.000833333, 0.152672, 0.00539937 
will, 0.360449, 0.2125, 0.147949, 0.370888 
mmbtu, 0.147379, 0, 0.147379, 0 
all, 0.170184, 0.3175, 0.147316, 0.651037 
questions, 0.164738, 0.0183333, 0.146405, 0.100143 
www, 0.029612, 0.174167, 0.144555, 0.854686 
if, 0.374745, 0.233333, 0.141411, 0.383723 
000, 0.210688, 0.075, 0.135688, 0.262525 
see, 0.228387, 0.0941667, 0.13422, 0.291941 
from, 0.403336, 0.269167, 0.134169, 0.400246 
11, 0.180735, 0.0466667, 0.134069, 0.205217 
email, 0.0595643, 0.193333, 0.133769, 0.764473 
xls, 0.133424, 0, 0.133424, 0 
volume, 0.140231, 0.01, 0.130231, 0.066564 
by, 0.358747, 0.229167, 0.129581, 0.389796 
best, 0.0275698, 0.151667, 0.124097, 0.846182 
02, 0.13853, 0.0158333, 0.122696, 0.102572 
03, 0.140231, 0.0191667, 0.121065, 0.120244 
be, 0.431586, 0.311667, 0.119919, 0.419328 
file, 0.136828, 0.0175, 0.119328, 0.113395 
com, 0.167461, 0.285, 0.117539, 0.629889 
$, 0.109939, 0.226667, 0.116728, 0.67339 
click, 0.0279101, 0.144167, 0.116257, 0.837804 
volumes, 0.115385, 0, 0.115385, 0 
10, 0.2403, 0.126667, 0.113633, 0.345173 
sitara, 0.112321, 0, 0.112321, 0 
get, 0.134445, 0.245833, 0.111388, 0.646456 
money, 0.0136147, 0.125, 0.111385, 0.90178 
contract, 0.121852, 0.0108333, 0.111018, 0.081647 
only, 0.0905378, 0.200833, 0.110296, 0.68927 
now, 0.0772634, 0.1875, 0.110237, 0.708179 
12, 0.170524, 0.0608333, 0.109691, 0.262941 
online, 0.0153165, 0.1225, 0.107183, 0.888863 
texas, 0.116746, 0.01, 0.106746, 0.0788979 
09, 0.118108, 0.0125, 0.105608, 0.0957066 
at, 0.374745, 0.269167, 0.105578, 0.418018 
re, 0.233833, 0.128333, 0.105499, 0.35435 
should, 0.193329, 0.0883333, 0.104995, 0.313615 
04, 0.123553, 0.0191667, 0.104387, 0.134295 
#, 0.198775, 0.0983333, 0.100441, 0.330968 
flow, 0.113342, 0.0133333, 0.100009, 0.105256 
need, 0.210007, 0.11, 0.100007, 0.343743 
following, 0.126276, 0.0266667, 0.0996097, 0.174357 
call, 0.135126, 0.0358333, 0.0992926, 0.209602 
bob, 0.10177, 0.0025, 0.0992699, 0.0239762 
free, 0.039823, 0.134167, 0.0943437, 0.771119 
prices, 0.0136147, 0.106667, 0.093052, 0.88681 
nomination, 0.0936011, 0.000833333, 0.0927678, 0.00882447 
have, 0.408441, 0.315833, 0.0926078, 0.436069 
08, 0.111981, 0.02, 0.0919809, 0.151537 
00, 0.17597, 0.0841667, 0.0918034, 0.323548 
month, 0.141253, 0.05, 0.0912526, 0.261434 
stop, 0.00646698, 0.0975, 0.091033, 0.937798 
robert, 0.0966644, 0.0075, 0.0891644, 0.0720016 
this, 0.460858, 0.375, 0.0858577, 0.448641 
any, 0.255276, 0.17, 0.0852757, 0.399741 
30, 0.143975, 0.06, 0.0839755, 0.294153 
31, 0.100068, 0.0175, 0.0825681, 0.14885 
2004, 0.000340368, 0.0825, 0.0821596, 0.995891 
many, 0.0180395, 0.1, 0.0819605, 0.847174 
06, 0.0895167, 0.00833333, 0.0811833, 0.0851644 
link, 0.0183799, 0.0983333, 0.0799535, 0.842521 
day, 0.14806, 0.0683333, 0.0797266, 0.315783 
07, 0.086113, 0.00666667, 0.0794463, 0.0718548 
special, 0.0156569, 0.095, 0.0793431, 0.858509 
us, 0.105174, 0.184167, 0.0789931, 0.636506 
05, 0.10177, 0.0233333, 0.0784366, 0.186513 
